"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land"
"Vlieland";"2021";"1194";"31";"39,15"
"Vlijmen";"2021";"";"";""
"Vlissingen";"2021";"44358";"1293";"34,31"
"Vlist";"2021";"";"";""
"Voerendaal";"2021";"12466";"396";"31,51"
"Voorburg";"2021";"";"";""
"Voorhout";"2021";"";"";""
"Voorschoten";"2021";"25650";"2302";"11,14"
"Voorst";"2021";"24790";"202";"122,97"
"Vorden";"2021";"";"";""
"Vries";"2021";"";"";""
"Vriezenveen";"2021";"";"";""
"Vught";"2021";"31669";"527";"60,05"
"Waadhoeke";"2021";"46149";"162";"285,42"
"Waalre";"2021";"17544";"784";"22,39"
"Waalwijk";"2021";"48815";"756";"64,58"
"Waddinxveen";"2021";"30479";"1097";"27,77"
"Wageningen";"2021";"39635";"1303";"30,42"
"Warmond";"2021";"";"";""
"Warnsveld";"2021";"";"";""
"Waspik";"2021";"";"";""
"Wassenaar";"2021";"26949";"527";"51,11"
"Wateringen";"2021";"";"";""
"Waterland";"2021";"17312";"332";"52,11"
"Weerselo";"2021";"";"";""
"Weert";"2021";"50011";"479";"104,32"
"Weesp";"2021";"20445";"897";"22,79"
"Wehl";"2021";"";"";""
"Werkendam";"2021";"";"";""
"Wervershoof";"2021";"";"";""
"West Betuwe";"2021";"51496";"238";"216,12"
"West Maas en Waal";"2021";"19581";"255";"76,76"
"Westerbork";"2021";"";"";""
"Westerhoven";"2021";"";"";""
"Wester-Koggenland";"2021";"";"";""
"Westerkwartier";"2021";"63678";"176";"362,69"
"Westerschouwen";"2021";"";"";""
"Westerveld";"2021";"19661";"71";"278,35"
"Westervoort";"2021";"15014";"2136";"7,03"
"Westerwolde";"2021";"26215";"95";"275,67"
"Westkapelle";"2021";"";"";""
"Westland";"2021";"111382";"1370";"81,27"
"Weststellingwerf";"2021";"26130";"119";"220,30"
"Westvoorne";"2021";"14900";"280";"53,18"
"Wierden";"2021";"24538";"259";"94,63"
"Wieringen";"2021";"";"";""
"Wieringermeer";"2021";"";"";""
"Wijchen";"2021";"41261";"624";"66,18"
"Wijdemeren";"2021";"24463";"514";"47,60"
"Wijhe";"2021";"";"";""
"De Wijk";"2021";"";"";""
"Wijk bij Duurstede";"2021";"23925";"502";"47,62"
"Willemstad";"2021";"";"";""
"Winschoten";"2021";"";"";""
"Winsum";"2021";"";"";""
"Winterswijk";"2021";"29022";"210";"138,14"
"Wisch";"2021";"";"";""
"Wittem";"2021";"";"";""
"Woensdrecht";"2021";"22028";"240";"91,66"
"Woerden";"2021";"52694";"595";"88,57"
"Wognum";"2021";"";"";""
"De Wolden";"2021";"24374";"109";"224,55"
"Wormerland";"2021";"16333";"423";"38,59"
"Woudenberg";"2021";"13639";"373";"36,53"
"Woudrichem";"2021";"";"";""
"Wouw";"2021";"";"";""
"Wûnseradiel";"2021";"";"";""
"Wymbritseradiel";"2021";"";"";""
"Zaanstad";"2021";"156901";"2124";"73,87"
"Zaltbommel";"2021";"29447";"371";"79,38"
"Zandvoort";"2021";"17168";"535";"32,12"
"Zederik";"2021";"";"";""
"Zeevang";"2021";"";"";""
"Zeewolde";"2021";"22879";"93";"247,23"
"Zeist";"2021";"65043";"1341";"48,51"
"Zelhem";"2021";"";"";""
"Zevenaar";"2021";"44096";"476";"92,60"
"Zevenbergen";"2021";"";"";""
"Zevenhuizen-Moerkapelle";"2021";"";"";""
"Zierikzee";"2021";"";"";""
"Zijpe";"2021";"";"";""
"Zoetermeer";"2021";"125267";"3637";"34,45"
"Zoeterwoude";"2021";"8843";"417";"21,19"
"Zuidhorn";"2021";"";"";""
"Zuidlaren";"2021";"";"";""
"Zuidplas";"2021";"45064";"777";"58,02"
"Zuidwolde";"2021";"";"";""
"Zundert";"2021";"21988";"182";"120,65"
"Zutphen";"2021";"48111";"1175";"40,95"
"Zwartewaterland";"2021";"22823";"277";"82,49"
"Zwartsluis";"2021";"";"";""
"Zweeloo";"2021";"";"";""
"Zwijndrecht";"2021";"44775";"2206";"20,30"
"Zwolle";"2021";"129840";"1169";"111,10"
"Bron: CBS"
